"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"RS1"	-1.12014044807723	0.685842983871964	-26.060131183323	9.9632513408234e-50	9.9632513408234e-46	102.756030038218
"UPK3B"	-4.51762583749201	3.5309999232054	-25.5945775917572	5.74132690242927e-49	2.87066345121463e-45	101.028236768762
"FABP4"	-4.8545096012873	4.01777408132916	-24.8831773529234	8.7171322458586e-48	2.90571074861953e-44	98.3427246784957
"TNNC1"	-3.901284068726	3.95243776140051	-24.6696383770409	1.99326299191151e-47	4.98315747977878e-44	97.5257462399855
"CNTN6"	-1.69062915422468	1.12829272183275	-24.2612507995148	9.82888296713487e-47	1.96577659342697e-43	95.9490827156442
"LINC01996"	-1.75439641506855	1.05110817647981	-23.3451056245618	3.76866275476858e-45	6.28110459128096e-42	92.3429650615664
"AGER"	-6.28286013105181	6.83171487654357	-23.2121724851503	6.44754974168291e-45	8.66452985863953e-42	91.811634884326
"FHL1"	-3.21531514763121	4.19640457395422	-23.1942889664835	6.93162388691163e-45	8.66452985863953e-42	91.7399968045745
"LIMS2"	-2.19082018761975	2.57754230669977	-22.830087524688	3.05205265995445e-44	3.39116962217162e-41	90.2728687328392
"GPM6A"	-2.7085687071205	1.80648970185817	-22.5852440173125	8.33906439864103e-44	7.68473480829018e-41	89.2777052924864
"SPOCK2"	-3.28408126723474	4.89310036723825	-22.5819439830633	8.4532082891192e-44	7.68473480829018e-41	89.2642434361089
"ALDH18A1"	1.70521775776965	4.20129565720202	22.4622670219061	1.38520646625768e-43	1.1543387218814e-40	88.7751619608539
"JPH4"	-0.853713824568165	0.688062678560146	-22.4066368296647	1.74367887345256e-43	1.34129144111736e-40	88.5472334751084
"SGCG"	-1.72512555076158	1.16901926999746	-22.2516720800996	3.31686280333015e-43	2.36918771666439e-40	87.9103443256962
"GRK5"	-2.15657333901388	2.96019249834394	-22.0988419291815	6.27113439360796e-43	4.18075626240531e-40	87.2793838705797
"EDNRB"	-3.01906493419051	3.47159492709404	-21.1875504905987	2.96405879131861e-41	1.85253674457413e-38	83.4578085021177
"SH3GL3"	-1.25386605658489	0.750401131054977	-21.0335347130582	5.74378008268507e-41	3.37869416628534e-38	82.8017898340723
"SERTM1"	-2.3880485395136	1.32935770716585	-20.9808593555916	7.20692407862884e-41	4.00384671034936e-38	82.5767439969615
"JAM2"	-1.87372742664802	2.47275110536143	-20.9667040092438	7.66052887051805e-41	4.03185730027266e-38	82.5162087605188
"RCC1"	1.55116247595158	3.31743713350544	20.8611798234702	1.20839760378221e-40	6.04198801891106e-38	82.0641452609087
"ADAMTS8"	-2.64319359030104	2.25867316280387	-20.7904206919036	1.64163811396309e-40	7.8173243522052e-38	81.7602331023286
"RAMP2"	-2.63258935427368	4.8387135223693	-20.600892794278	3.7412225358396e-40	1.70055569810891e-37	80.9431075713688
"SCUBE1"	-1.7911011199744	1.20164483765966	-20.3094217280497	1.33943723059239e-39	5.82364013301038e-37	79.6776274459254
"RGCC"	-2.75932139843105	6.71337289469465	-20.2204193315458	1.98139937867349e-39	8.25583074447287e-37	79.2890627058251
"NECAB1"	-1.70307496818279	1.36596141648329	-20.1290367920449	2.96492543209556e-39	1.18597017283822e-36	78.8890606237083
"MGAT3"	-2.60895492112999	2.36524548400448	-19.9362244301739	6.96344170714713e-39	2.6782468104412e-36	78.0415921925146
"ARHGEF26"	-2.36572264909951	2.93101525903147	-19.8898047689717	8.55849594651053e-39	3.16981331352242e-36	77.8368562519384
"LRRC36"	-2.20062428654509	1.69836385695693	-19.8793734854832	8.96483329373432e-39	3.20172617633369e-36	77.7908107884291
"ARHGAP6"	-1.23014296590532	1.22350880293383	-19.6163293666372	2.90057811897952e-38	1.00019935137225e-35	76.6250929095014
"PECAM1"	-2.0064121551586	5.75675653016281	-19.5713250586615	3.54901730912958e-38	1.18300576970986e-35	76.4247627552587
"CD36"	-2.62682823955521	2.98171757067625	-19.3067535442772	1.16806030876607e-37	3.76793647989055e-35	75.2418077413734
"PPP1R14B"	1.91923692556316	4.68965283550456	19.2226670404415	1.70881085878112e-37	5.340033933691e-35	74.863956194802
"WWC2"	-1.9163146411104	3.0269937658869	-19.1791485512449	2.08141766703463e-37	6.3073262637413e-35	74.6680441485046
"GDF10"	-2.54158879523617	2.22897408786314	-19.1110742257474	2.83511244958183e-37	8.33856602818186e-35	74.3610975157445
"GOLM1"	2.5936654809514	4.85038805844816	19.0623633149297	3.53803085889158e-37	1.01086595968331e-34	74.1410941567612
"EFCC1"	-2.03760397350188	2.06470396836941	-18.9829613735195	5.07970835843779e-37	1.41103009956605e-34	73.7818192403521
"GPIHBP1"	-3.01983939843316	2.80692039143588	-18.7900251447946	1.22732142620628e-36	3.31708493569265e-34	72.9054421014043
"PDLIM2"	-1.39769670762272	2.20465722451478	-18.574269159885	3.30990703498404e-36	8.71028167101062e-34	71.9197227110838
"VEGFD"	-3.25188979860362	2.93929111626468	-18.4577017434714	5.67104312646009e-36	1.45411362216925e-33	71.3846637634312
"CPB2"	-3.4390193208366	2.67051104967942	-18.2988510411768	1.1845122719399e-35	2.96128067984975e-33	70.652695237254
"FAM107A"	-3.61503306067009	3.40166459713215	-18.2873140992572	1.2497569411681e-35	3.04818766138561e-33	70.5994072555407
"PDIA4"	1.80997504500263	6.30057050524219	18.2676808085767	1.36920965621412e-35	3.26002299098601e-33	70.5086835521068
"MCEMP1"	-3.93956059376367	4.07770746785115	-18.2482549072999	1.49870609548336e-35	3.485363012752e-33	70.4188692094189
"PHACTR1"	-1.64746329982158	1.99489516453833	-18.2156229975409	1.74457692846909e-35	3.96494756470248e-33	70.2678881547896
"SH2D3C"	-1.85325719756267	3.15558205114586	-18.0344900810986	4.06407992440279e-35	9.03128872089509e-33	69.4273258563418
"CCDC85A"	-1.19194379864837	0.947820018924866	-17.6986989141951	1.97061719306424e-34	4.28395041970487e-32	67.8578721838601
"CCM2L"	-1.66016478716368	1.84062812980307	-17.6915145491889	2.03863519316375e-34	4.33752168758245e-32	67.8241346006523
"ATIC"	1.27239013361614	4.11990160960702	17.682807321198	2.12424404287404e-34	4.42550842265424e-32	67.7832367983665
"SBSPON"	-1.67288886515264	1.51142397296122	-17.6192906697356	2.86846468321088e-34	5.85400955757322e-32	67.4846046015045
"PLA2G4F"	-2.60449199073652	2.57011626479419	-17.51929776196	4.60739304747423e-34	9.21478609494846e-32	67.0134242519323
"FENDRR"	-2.43148848352523	1.83302900292931	-17.4459557512839	6.52764818814319e-34	1.27993101728298e-31	66.6670109828833
"TMEM88"	-1.88041967846893	2.35336451853746	-17.4291921726138	7.06936973666755e-34	1.35949418012837e-31	66.5877354478669
"HIGD1B"	-2.36259937189961	3.00635510705054	-17.4193145535654	7.40950869684324e-34	1.39802050883835e-31	66.5410069914867
"PHKA1"	1.18253656532298	1.7446180397643	17.3950303025279	8.31739296467662e-34	1.5402579564216e-31	66.4260713571282
"PAK1"	1.20251647746263	3.38519217755833	17.3620300667696	9.73315290533998e-34	1.76724927950058e-31	66.2697625519056
"CNOT11"	0.975416148677193	4.22899162609526	17.3558215909943	1.00254400931686e-33	1.76724927950058e-31	66.2403399264007
"CLDN18"	-5.40829214662642	5.32558185287293	-17.3548219338253	1.00733208931533e-33	1.76724927950058e-31	66.2356019839166
"KRT4"	-2.83688874422655	2.12662432130848	-17.3418658525561	1.07150901494738e-33	1.84742933611617e-31	66.1741841954674
"DUOX1"	-2.79244747692509	3.35128961365097	-17.1377057625701	2.8436957572256e-33	4.81982331733153e-31	65.2035390687671
"EMCN"	-2.16518854206112	2.79479448126154	-17.1258497785976	3.01001761136846e-33	5.01669601894744e-31	65.1470083636345
"CSTF2"	1.05984742071246	3.01000076060167	17.0092896130805	5.26832243628671e-33	8.63659415784707e-31	64.5902831944939
"DENND3"	-1.57025997799414	2.58379507229609	-16.97697860855	6.15449771160301e-33	9.92660921226292e-31	64.43565064689
"P4HB"	1.16255651614649	7.35245385024254	16.9148957529143	8.3001580611091e-33	1.31748540652525e-30	64.1381653720198
"FGD5"	-1.64148163632254	2.78131082089504	-16.8322250099234	1.23703002376011e-32	1.93285941212518e-30	63.7412697873722
"B3GNT3"	3.09889871196261	2.42786218279671	16.7936421470008	1.49067920309588e-32	2.2933526201475e-30	63.5557405717799
"SCN4B"	-1.92246447979146	1.95007855375462	-16.7381583787943	1.94990079017396e-32	2.95439513662722e-30	63.2886121432438
"LINC00968"	-1.43100635779594	1.06421008080961	-16.7315981402148	2.01285881454675e-32	3.0042668873832e-30	63.2570019742218
"CDH5"	-2.12893236222369	4.23771057830921	-16.6959796944197	2.39212881262025e-32	3.51783648914742e-30	63.0852816326232
"GMPPA"	0.857547220333509	2.96186769722237	16.6475144000697	3.02626130613095e-32	4.38588595091443e-30	62.8513685947316
"ST6GALNAC6"	-1.25317506304702	4.09262972455351	-16.6099242833349	3.63245534237031e-32	5.18922191767187e-30	62.6697400683015
"DACH1"	-1.48295179168033	1.46988497015969	-16.4893105752036	6.53341708631076e-32	9.20199589621234e-30	62.0857592922796
"ETV4"	2.34093669991858	2.09654951000148	16.4822549352645	6.76204450620257e-32	9.39172848083691e-30	62.0515412600664
"LINC02016"	-1.83360457364113	1.00062988051196	-16.4384296592667	8.37377358576734e-32	1.14709227202292e-29	61.8388605919623
"LGR4"	2.10422203856649	2.44922930506149	16.4344173770955	8.53937955202829e-32	1.15397020973355e-29	61.8193773072177
"CGNL1"	-2.06339967733184	3.22850044985724	-16.2484402551063	2.12128388054701e-31	2.82837850739601e-29	60.9140882931633
"GPT2"	1.95288120687895	2.00291988211561	16.1891353169529	2.83791998458896e-31	3.71125125464315e-29	60.6245040868991
"PNPLA6"	-1.35479212504333	4.0040859181171	-16.1877237150955	2.85766346607523e-31	3.71125125464315e-29	60.617605976295
"NLN"	1.14057348715437	1.74591108207176	16.1639384152406	3.21189138430745e-31	4.11780946706084e-29	60.5013367214479
"ACSS3"	-1.02619936335772	1.22524589809061	-16.1513652465443	3.41664496797527e-31	4.32486704806996e-29	60.4398472993546
"CALCRL"	-2.22120414323123	3.80547060989947	-16.0860784878383	4.71082757843344e-31	5.8885344730418e-29	60.1202472495079
"FERMT1"	1.91528095075304	1.62712157874238	16.0785699102322	4.88826952201134e-31	6.03490064445844e-29	60.083456651299
"PLAC9"	-2.25791344854544	3.07281527362518	-16.0269462615131	6.3043263722298e-31	7.68820289296317e-29	59.8303230377963
"ACKR4"	-1.32072907255326	1.14507445110188	-16.0232353020697	6.42075649711851e-31	7.7358512013476e-29	59.8121139546528
"ANKRD29"	-2.18473177366265	2.51452392363938	-16.0153794755214	6.67441010722163e-31	7.94572631812099e-29	59.7735611007671
"FAM83A"	3.65602359108205	2.09549021264062	15.9968173290194	7.3145019288428e-31	8.60529638687388e-29	59.682436400403
"LRRN3"	-1.61279208495226	1.36175787554799	-15.9385145149947	9.75493051941704e-31	1.13429424644384e-28	59.3959437855477
